project,archived_at,year,release
openstack/oslo-incubator,2020-06-26,2020,victoria
openstack/python-ceilometerclient,2020-06-26,2020,victoria
openstack/cookbook-openstack-object-storage,2020-06-26,2020,victoria
openstack/murano-deployment,2020-06-26,2020,victoria
openstack/releasestatus,2020-06-26,2020,victoria
openstack/trove-integration,2020-06-26,2020,victoria
openstack/oslosphinx,2020-06-26,2020,victoria
openstack/django_openstack_auth,2021-07-24,2021,xena
openstack/tripleo-incubator,2020-06-26,2020,victoria
openstack/activity-board,2020-06-26,2020,victoria
openstack/fuel-main,2020-06-26,2020,victoria
openstack/fuel-web,2020-06-26,2020,victoria
openstack/fuel-astute,2020-06-26,2020,victoria
openstack/fuel-ostf,2020-06-26,2020,victoria
openstack/os-loganalyze,2020-09-25,2020,victoria
openstack/congress,2020-06-26,2020,victoria
openstack/zuul-packaging,2020-06-26,2020,victoria
openstack/release-tools,2020-06-26,2020,victoria
openstack/fuel-docs,2020-06-26,2020,victoria
openstack/fuel-library,2020-06-26,2020,victoria
openstack/fuel-devops,2020-06-26,2020,victoria
openstack/magnetodb,2020-06-26,2020,victoria
openstack/os-cloud-config,2020-06-26,2020,victoria
openstack/swift-specs,2020-06-26,2020,victoria
openstack/fuel-specs,2020-06-26,2020,victoria
openstack/gnocchi,2020-06-26,2020,victoria
openstack/cookbook-openstack-data-processing,2020-06-26,2020,victoria
openstack/cookbook-openstack-database,2020-06-26,2020,victoria
openstack/python-magnetodbclient,2020-06-26,2020,victoria
openstack/docs-specs,2020-06-26,2020,victoria
openstack/python-congressclient,2020-06-26,2020,victoria
openstack/solum-infra-guestagent,2020-07-13,2020,victoria
openstack/congress-specs,2020-06-26,2020,victoria
openstack/xstatic-font-awesome,2023-02-18,2023,2023.1 antelope
openstack/pylockfile,2020-06-26,2020,victoria
openstack/tempest-lib,2022-04-20,2022,zed
openstack/tricircle,2020-06-26,2020,victoria
openstack/bandit,2020-06-26,2020,victoria
openstack/python-keystoneclient-kerberos,2020-06-26,2020,victoria
openstack/keystoneauth-saml2,2020-06-26,2020,victoria
openstack/fuel-stats,2020-06-26,2020,victoria
openstack/fuel-plugins,2020-06-26,2020,victoria
openstack/magnetodb-specs,2020-06-26,2020,victoria
openstack/openstack-specs,2021-06-26,2021,xena
openstack/cue,2020-06-26,2020,victoria
openstack/puppet-monasca,2021-08-27,2021,xena
openstack/anchor,2020-06-26,2020,victoria
openstack/neutron-lbaas,2021-07-22,2021,xena
openstack/networking-l2gw,2020-09-04,2020,victoria
openstack/python-fuelclient,2020-06-26,2020,victoria
openstack/python-cueclient,2020-06-26,2020,victoria
openstack/networking-ofagent,2020-06-26,2020,victoria
openstack/fuel-qa,2020-06-26,2020,victoria
openstack/dragonflow,2020-07-21,2020,victoria
openstack/cue-dashboard,2020-06-26,2020,victoria
openstack/faafo,2020-06-26,2020,victoria
openstack/fuel-dev-tools,2020-06-26,2020,victoria
openstack/app-catalog,2020-06-26,2020,victoria
openstack/astara-appliance,2020-06-26,2020,victoria
openstack/astara-neutron,2020-06-26,2020,victoria
openstack/astara,2020-06-26,2020,victoria
openstack/django-openstack-auth-kerberos,2020-06-26,2020,victoria
openstack/astara-horizon,2020-06-26,2020,victoria
openstack/ops-tags-team,2021-06-26,2021,xena
openstack/tap-as-a-service,2019-09-26,2019,train
openstack/mox3,2020-06-26,2020,victoria
openstack/searchlight,2020-12-08,2020,wallaby
openstack/devstack-plugin-zmq,2020-09-10,2020,victoria
openstack/python-neutron-pd-driver,2020-06-26,2020,victoria
openstack/ironic-webclient,2020-06-26,2020,victoria
openstack/security-specs,2022-02-16,2022,yoga
openstack/horizon-cisco-ui,2020-06-26,2020,victoria
openstack/fuel-agent,2020-06-26,2020,victoria
openstack/fuel-nailgun-agent,2020-06-26,2020,victoria
openstack/networking-onos,2020-07-13,2020,victoria
openstack/fuel-upgrade,2020-06-26,2020,victoria
openstack/neutron-lbaas-dashboard,2021-07-22,2021,xena
openstack/networking-calico,2020-06-26,2020,victoria
openstack/fuel-mirror,2020-06-26,2020,victoria
openstack/fuel-octane,2020-06-26,2020,victoria
openstack/app-catalog-ui,2020-06-26,2020,victoria
openstack/instack,2020-06-26,2020,victoria
openstack/openstack-health,2022-04-19,2022,zed
openstack/python-gnocchiclient,2020-06-26,2020,victoria
openstack/syntribos,2020-06-26,2020,victoria
openstack/openstack-ansible-security,2020-06-26,2020,victoria
openstack/training-labs,2021-11-21,2021,yoga
openstack/app-catalog-common,2020-06-26,2020,victoria
openstack/deb-openstack-pkg-tools,2020-06-26,2020,victoria
openstack/devstack-plugin-pika,2020-09-11,2020,victoria
openstack/fuel-menu,2020-06-26,2020,victoria
openstack/shotgun,2020-06-26,2020,victoria
openstack/karbor,2021-01-30,2021,wallaby
openstack/searchlight-specs,2020-12-08,2020,wallaby
openstack/openstack-ansible-pip_install,2020-06-26,2020,victoria
openstack/python-searchlightclient,2020-12-08,2020,wallaby
openstack/openstack-ansible-pip_lock_down,2020-06-26,2020,victoria
openstack/openstack-ux,2020-07-13,2020,victoria
openstack/puppet-rally,2023-05-09,2023,2023.2 bobcat
openstack/release-schedule-generator,2020-06-26,2020,victoria
openstack/fairy-slipper,2020-06-26,2020,victoria
openstack/openstack-salt,2020-06-26,2020,victoria
openstack/salt-formula-ceilometer,2020-06-26,2020,victoria
openstack/salt-formula-cinder,2020-06-26,2020,victoria
openstack/salt-formula-glance,2020-06-26,2020,victoria
openstack/salt-formula-heat,2020-06-26,2020,victoria
openstack/salt-formula-horizon,2020-06-26,2020,victoria
openstack/salt-formula-keystone,2020-06-26,2020,victoria
openstack/salt-formula-neutron,2020-06-26,2020,victoria
openstack/salt-formula-nova,2020-06-26,2020,victoria
openstack/salt-formula-opencontrail,2020-06-26,2020,victoria
openstack/python-wsmanclient,2020-06-26,2020,victoria
openstack/fuel-virtualbox,2020-06-26,2020,victoria
openstack/python-karborclient,2021-01-30,2021,wallaby
openstack/karbor-dashboard,2021-01-30,2021,wallaby
openstack/fuel-ui,2020-06-26,2020,victoria
openstack/charm-ceph,2020-06-26,2020,victoria
openstack/openstack-ansible-repo_build,2020-06-26,2020,victoria
openstack/fuel-plugin-murano,2020-06-26,2020,victoria
openstack/fuxi,2020-06-26,2020,victoria
openstack/tripleo-ui,2020-06-26,2020,victoria
openstack/openstack-ansible-os_zaqar,2020-06-26,2020,victoria
openstack/tuning-box,2020-06-26,2020,victoria
openstack/searchlight-ui,2020-12-08,2020,wallaby
openstack/python-appcatalogclient,2020-06-26,2020,victoria
openstack/uc-recognition,2021-06-29,2021,xena
openstack/monasca-analytics,2021-01-13,2021,wallaby
openstack/kolla-kubernetes,2020-06-26,2020,victoria
openstack/tempest-horizon,2021-02-16,2021,wallaby
openstack/installguide-cookiecutter,2020-06-26,2020,victoria
openstack/puppet-congress,2020-06-26,2020,victoria
openstack/security-analysis,2022-06-25,2022,zed
openstack/puppet-tacker,2023-05-03,2023,2023.2 bobcat
openstack/governance-uc,2021-06-29,2021,xena
openstack/salt-formula-midonet,2020-06-26,2020,victoria
openstack/salt-formula-swift,2020-06-26,2020,victoria
openstack/fuel-plugin-murano-tests,2020-06-26,2020,victoria
openstack/fuel-nailgun-extension-cluster-upgrade,2020-06-26,2020,victoria
openstack/deb-spice-html5,2020-06-26,2020,victoria
openstack/salt-formula-kubernetes,2020-06-26,2020,victoria
openstack/deb-auto-backports,2020-06-26,2020,victoria
openstack/deb-aodh,2020-06-26,2020,victoria
openstack/deb-barbican,2020-06-26,2020,victoria
openstack/deb-ceilometer,2020-06-26,2020,victoria
openstack/deb-ceilometermiddleware,2020-06-26,2020,victoria
openstack/deb-cinder,2020-06-26,2020,victoria
openstack/deb-congress,2020-06-26,2020,victoria
openstack/deb-designate,2020-06-26,2020,victoria
openstack/deb-designate-dashboard,2020-06-26,2020,victoria
openstack/deb-glance,2020-06-26,2020,victoria
openstack/deb-gnocchi,2020-06-26,2020,victoria
openstack/deb-heat,2020-06-26,2020,victoria
openstack/deb-horizon,2020-06-26,2020,victoria
openstack/deb-ironic,2020-06-26,2020,victoria
openstack/deb-kazoo,2020-06-26,2020,victoria
openstack/deb-keystone,2020-06-26,2020,victoria
openstack/deb-manila,2020-06-26,2020,victoria
openstack/deb-manila-ui,2020-06-26,2020,victoria
openstack/deb-mistral,2020-06-26,2020,victoria
openstack/deb-msgpack-python,2020-06-26,2020,victoria
openstack/deb-murano,2020-06-26,2020,victoria
openstack/deb-murano-agent,2020-06-26,2020,victoria
openstack/deb-murano-dashboard,2020-06-26,2020,victoria
openstack/deb-networking-arista,2020-06-26,2020,victoria
openstack/deb-networking-mlnx,2020-06-26,2020,victoria
openstack/deb-neutron,2020-06-26,2020,victoria
openstack/deb-neutron-fwaas,2020-06-26,2020,victoria
openstack/deb-neutron-lbaas,2020-06-26,2020,victoria
openstack/deb-neutron-vpnaas,2020-06-26,2020,victoria
openstack/deb-nova,2020-06-26,2020,victoria
openstack/deb-oslosphinx,2020-06-26,2020,victoria
openstack/deb-python-aodhclient,2020-06-26,2020,victoria
openstack/deb-python-ceilometerclient,2020-06-26,2020,victoria
openstack/deb-python-ceilometermiddleware,2020-06-26,2020,victoria
openstack/deb-python-cinderclient,2020-06-26,2020,victoria
openstack/deb-python-cliff,2020-06-26,2020,victoria
openstack/deb-python-coffin,2020-06-26,2020,victoria
openstack/deb-python-colander,2020-06-26,2020,victoria
openstack/deb-python-concurrent.futures,2020-06-26,2020,victoria
openstack/deb-python-congressclient,2020-06-26,2020,victoria
openstack/deb-python-cotyledon,2020-06-26,2020,victoria
openstack/deb-python-couleur,2020-06-26,2020,victoria
openstack/deb-python-crank,2020-06-26,2020,victoria
openstack/deb-python-croniter,2020-06-26,2020,victoria
openstack/deb-python-csscompressor,2020-06-26,2020,victoria
openstack/deb-python-daemonize,2020-06-26,2020,victoria
openstack/deb-python-dcos,2020-06-26,2020,victoria
openstack/deb-python-ddt,2020-06-26,2020,victoria
openstack/deb-python-debtcollector,2020-06-26,2020,victoria
openstack/deb-python-designateclient,2020-06-26,2020,victoria
openstack/deb-python-django-appconf,2020-06-26,2020,victoria
openstack/deb-python-django-babel,2020-06-26,2020,victoria
openstack/deb-python-django-bootstrap-form,2020-06-26,2020,victoria
openstack/deb-python-django-compressor,2020-06-26,2020,victoria
openstack/deb-python-django-discover-runner,2020-06-26,2020,victoria
openstack/deb-python-django-formtools,2020-06-26,2020,victoria
openstack/deb-python-django-openstack-auth,2020-06-26,2020,victoria
openstack/deb-python-django-overextends,2020-06-26,2020,victoria
openstack/deb-python-django-pyscss,2020-06-26,2020,victoria
openstack/deb-python-doc8,2020-06-26,2020,victoria
openstack/deb-python-dogpile.cache,2020-06-26,2020,victoria
openstack/deb-python-dogpile.core,2020-06-26,2020,victoria
openstack/deb-python-editor,2020-06-26,2020,victoria
openstack/deb-python-eventlet,2020-06-26,2020,victoria
openstack/deb-python-extras,2020-06-26,2020,victoria
openstack/deb-python-falcon,2020-06-26,2020,victoria
openstack/deb-python-fasteners,2020-06-26,2020,victoria
openstack/deb-python-frozendict,2020-06-26,2020,victoria
openstack/deb-python-fuelclient,2020-06-26,2020,victoria
openstack/deb-python-funcsigs,2020-06-26,2020,victoria
openstack/deb-python-functools32,2020-06-26,2020,victoria
openstack/deb-python-futurist,2020-06-26,2020,victoria
openstack/deb-python-gabbi,2020-06-26,2020,victoria
openstack/deb-python-glanceclient,2020-06-26,2020,victoria
openstack/deb-python-gnocchiclient,2020-06-26,2020,victoria
openstack/deb-python-greenio,2020-06-26,2020,victoria
openstack/deb-python-happybase,2020-06-26,2020,victoria
openstack/deb-python-heatclient,2020-06-26,2020,victoria
openstack/deb-python-hplefthandclient,2020-06-26,2020,victoria
openstack/deb-python-httpretty,2020-06-26,2020,victoria
openstack/deb-python-ironic-inspector-client,2020-06-26,2020,victoria
openstack/deb-python-ironicclient,2020-06-26,2020,victoria
openstack/deb-python-jingo,2020-06-26,2020,victoria
openstack/deb-python-json-patch,2020-06-26,2020,victoria
openstack/deb-python-json-pointer,2020-06-26,2020,victoria
openstack/deb-python-jsonpath-rw,2020-06-26,2020,victoria
openstack/deb-python-jsonpath-rw-ext,2020-06-26,2020,victoria
openstack/deb-python-jsonrpclib,2020-06-26,2020,victoria
openstack/deb-python-jsonschema,2020-06-26,2020,victoria
openstack/deb-python-kafka,2020-06-26,2020,victoria
openstack/deb-python-keystoneclient,2020-06-26,2020,victoria
openstack/deb-python-ldappool,2020-06-26,2020,victoria
openstack/deb-python-lesscpy,2020-06-26,2020,victoria
openstack/deb-python-linecache2,2020-06-26,2020,victoria
openstack/deb-python-magnumclient,2020-06-26,2020,victoria
openstack/deb-python-manilaclient,2020-06-26,2020,victoria
openstack/deb-python-memcache,2020-06-26,2020,victoria
openstack/deb-python-microversion-parse,2020-06-26,2020,victoria
openstack/deb-python-misaka,2020-06-26,2020,victoria
openstack/deb-python-mistralclient,2020-06-26,2020,victoria
openstack/deb-python-monascaclient,2020-06-26,2020,victoria
openstack/deb-python-monotonic,2020-06-26,2020,victoria
openstack/deb-python-mox3,2020-06-26,2020,victoria
openstack/deb-python-multi-key-dict,2020-06-26,2020,victoria
openstack/deb-python-muranoclient,2020-06-26,2020,victoria
openstack/deb-python-neutronclient,2020-06-26,2020,victoria
openstack/deb-python-nose-exclude,2020-06-26,2020,victoria
openstack/deb-python-nose-parameterized,2020-06-26,2020,victoria
openstack/deb-python-nose-timer,2020-06-26,2020,victoria
openstack/deb-python-nosehtmloutput,2020-06-26,2020,victoria
openstack/deb-python-novaclient,2020-06-26,2020,victoria
openstack/deb-python-oauth2client,2020-06-26,2020,victoria
openstack/deb-python-openstackclient,2020-06-26,2020,victoria
openstack/deb-python-os-apply-config,2020-06-26,2020,victoria
openstack/deb-python-os-brick,2020-06-26,2020,victoria
openstack/deb-python-os-client-config,2020-06-26,2020,victoria
openstack/deb-python-os-cloud-config,2020-06-26,2020,victoria
openstack/deb-python-os-collect-config,2020-06-26,2020,victoria
openstack/deb-python-os-net-config,2020-06-26,2020,victoria
openstack/deb-python-os-refresh-config,2020-06-26,2020,victoria
openstack/deb-python-os-testr,2020-06-26,2020,victoria
openstack/deb-python-os-win,2020-06-26,2020,victoria
openstack/deb-python-oslo.cache,2020-06-26,2020,victoria
openstack/deb-python-oslo.concurrency,2020-06-26,2020,victoria
openstack/deb-python-oslo.config,2020-06-26,2020,victoria
openstack/deb-python-oslo.context,2020-06-26,2020,victoria
openstack/deb-python-oslo.db,2020-06-26,2020,victoria
openstack/deb-python-oslo.i18n,2020-06-26,2020,victoria
openstack/deb-python-oslo.log,2020-06-26,2020,victoria
openstack/deb-python-oslo.messaging,2020-06-26,2020,victoria
openstack/deb-python-oslo.middleware,2020-06-26,2020,victoria
openstack/deb-python-oslo.policy,2020-06-26,2020,victoria
openstack/deb-python-oslo.reports,2020-06-26,2020,victoria
openstack/deb-python-oslo.rootwrap,2020-06-26,2020,victoria
openstack/deb-python-oslo.serialization,2020-06-26,2020,victoria
openstack/deb-python-oslo.service,2020-06-26,2020,victoria
openstack/deb-python-oslo.utils,2020-06-26,2020,victoria
openstack/deb-python-oslo.versionedobjects,2020-06-26,2020,victoria
