index,Source,Target,Source_repo,Target_repo,same_dev,relation_type,Globl labels,description
95,711195,712315,horizon,requirements,True,Depends-On,Adopt new library,"Adopting a new testing library (""pytest"") which is actively maintained and supported, while it is commonly in big projects such as gunirocn, scipy, and requests, and adjust its usage in the other project,"
96,522543,522544,project-config,governance,True,Deps-Need,Initial library release,"Launch an initial release of an OpenStack repository (""governance-sigs"") by adding its name in ""governance"" project, while defining it configuration in ""project-config"" repo"
97,169475,169483,openstack-chef-repo,cookbook-openstack-block-storage,True,Related-Bug,Upgrade library,"Minor upgrade of an Ubuntu CentOS release from 7.0 to 7.1 in both project since in v7.0 lost what referred to as EUS (aka., Extended Update Support) or LTS (aka., Long-Term Support)"
98,121309,121328,python-glanceclient,hacking,True,Related-Bug,Remove library,"Remove ""intersphinx"" extension from a config filein both projects as it fails to build external projects links"
99,558289,558295,charm-manila,charm-nova-cloud-controller,True,Related-Bug,Code enhancements,"Remove a no-longer supported flag (""--allow-unverified"") in tox.ini (""config file"") as of pip v10.0 in both projects"
100,813767,813888,cliff,python-tripleoclient,True,,,
101,614827,615177,tripleo-heat-templates,tripleo-common,False,,,
102,563874,563950,tripleo-common,tripleo-heat-templates,True,,,
103,533770,543240,oslo.serialization,tooz,True,,,
104,779389,779394,openstack-chef,cookbook-openstack-identity,True,,,
105,176151,176391,oslo-incubator,keystone,True,,,
106,692965,694733,oslo.utils,mistral,True,,,
107,678629,678949,charm-aodh,charm-vault,True,,,
108,407077,407093,puppet-cinder,puppet-sahara,True,,,
109,773731,775756,tripleo-heat-templates,puppet-tripleo,True,,,
110,40450,40755,python-ceilometerclient,neutron,True,,,
111,540051,540495,cinder,nova,True,,,
112,858864,859072,tripleo-common,tripleo-quickstart-extras,True,,,
113,367317,367318,os-win,compute-hyperv,True,,,
114,512849,516490,puppet-watcher,puppet-openstack-integration,False,,,
115,117158,128400,cinder-specs,monasca-ui,True,,,
116,644781,645183,puppet-tripleo,tripleo-heat-templates,True,,,
117,644929,659850,tripleo-heat-templates,puppet-tripleo,False,,,
118,694430,714561,nova,python-novaclient,False,,,
119,739320,753108,cloudkitty-dashboard,heat-translator,False,,,
120,121313,123962,python-novaclient,magnetodb,False,,,
121,532269,535908,ironic,ironic-tempest-plugin,False,,,
122,541270,541924,openstack-ansible-os_aodh,openstack-ansible-galera_server,False,,,
123,830740,830795,tripleo-heat-templates,puppet-nova,True,,,
124,839083,843477,ovn-octavia-provider,networking-ovn,False,,,
125,823007,824363,neutron-tempest-plugin,neutron,False,,,
126,707955,776424,tripleo-heat-templates,puppet-tripleo,True,,,
127,387824,389476,openstacksdk,python-senlinclient,True,,,
128,390644,390646,openstack-ansible-os_aodh,openstack-ansible-os_ceilometer,True,,,
129,660329,660395,puppet-nova,tripleo-heat-templates,True,,,
130,775709,777241,tripleo-heat-templates,tripleo-common,True,,,
131,491600,491604,puppet-tripleo,tripleo-heat-templates,True,,,
132,818081,822681,tripleo-ansible,tripleo-heat-templates,False,,,
133,708737,750678,puppet-pacemaker,tripleo-heat-templates,True,,,
134,85805,86161,cookbook-openstack-network,cookbook-openstack-orchestration,True,,,
135,555034,555626,openstack-zuul-jobs,keystonemiddleware,True,,,
136,118732,118734,ceilometer,oslotest,True,,,
137,118692,118736,cinder,oslo-incubator,False,,,
138,270392,270401,python-tackerclient,zaqar,True,,,
139,258765,258766,neutron-vpnaas,neutron-lbaas,True,,,
140,428651,437899,gnocchi,project-config,True,,,
141,755607,757605,tripleo-quickstart-extras,tripleo-ci,True,,,
142,121311,126161,python-keystoneclient,python-cloudkittyclient,True,,,
143,277224,277670,os-brick,nova,True,,,
144,121227,121297,trove,ironic-specs,True,,,
145,118735,118761,oslosphinx,heat,False,,,
146,121310,126161,python-heatclient,python-cloudkittyclient,True,,,
147,777003,786355,tripleo-heat-templates,tripleo-ansible,False,,,
148,522857,522858,releases,openstack-ansible,True,,,
149,529676,529766,puppet-openstack-integration,puppet-octavia,True,,,
150,693631,694565,requirements,mistral-dashboard,False,,,
151,547229,549989,cinder,manila,True,,,
152,577073,577074,puppet-neutron,puppet-tripleo,True,,,
153,473896,475848,tripleo-heat-templates,tripleo-docs,True,,,
154,105510,105629,requirements,tempest,True,,,
155,179350,179353,ha-guide,openstack-manuals,True,,,
156,422896,452326,kolla-ansible,kolla,False,,,
157,50664,144700,keystone,oslo.middleware,False,,,
158,419486,420698,tripleo-image-elements,tripleo-common,True,,,
159,685341,687344,puppet-ironic,instack-undercloud,True,,,
160,445186,446725,cliff,requirements,False,,,
161,207078,235325,puppet-openstack-integration,puppet-tempest,True,,,
162,560306,560424,charm-cinder,charm-neutron-api,False,,,
163,759130,759132,tripleo-ansible,tripleo-heat-templates,True,,,
164,117160,128400,heat-specs,monasca-ui,True,,,
165,533768,533770,keystone,oslo.serialization,True,,,
166,793906,793909,tripleo-heat-templates,python-tripleoclient,True,,,
167,769501,822244,tripleo-heat-templates,puppet-tripleo,False,,,
168,825357,830504,kolla-ansible,ansible-collection-kolla,True,,,
169,669902,669997,puppet-tripleo,tripleo-heat-templates,False,,,
170,117158,117171,cinder-specs,governance,True,,,
171,528483,529499,project-config,openstack-zuul-jobs,False,,,
172,633214,730456,tripleo-quickstart-extras,devstack,False,,,
173,254220,272651,cookbook-openstack-image,openstack-chef-repo,False,,,
174,820982,824535,openstack-ansible,openstack-ansible-os_zun,True,,,
175,139559,139564,cinder,neutron,True,,,
176,794993,813129,oslo.privsep,neutron,False,,,
177,120456,120548,telemetry-specs,tripleo-specs,True,,,
178,121317,121319,sahara-specs,swift-specs,True,,,
179,358510,358511,puppet-tripleo,tripleo-heat-templates,True,,,
180,233968,234561,mistral,mistral-dashboard,True,,,
181,321639,321640,django_openstack_auth,horizon,True,,,
182,462680,462681,tripleo-common,tripleo-heat-templates,True,,,
183,462724,489813,python-tripleoclient,tripleo-common,True,,,
184,812662,813660,heat,neutron-lib,True,,,
185,776355,776358,charm-ironic-api,charm-keystone-kerberos,True,,,
186,164190,164427,tempest,devstack,True,,,
187,547321,632586,tripleo-common,tripleo-heat-templates,True,,,
188,636904,636911,puppet-tripleo,tripleo-heat-templates,True,,,
189,447516,451469,charm-cinder-backup,charm-glance,True,,,
190,536577,537263,os-collect-config,tripleo-heat-templates,False,,,
191,813192,815199,tripleo-ansible,tripleo-heat-templates,True,,,
192,513106,513797,openstack-ansible-memcached_server,openstack-ansible-tests,True,,,
193,776971,777002,tripleo-common,tripleo-heat-templates,True,,,
194,675561,675600,tosca-parser,tacker,True,,,
195,22711,22771,nova,neutron,True,,,
196,117164,117171,qa-specs,governance,True,,,
197,814057,814059,cookbook-openstack-network,cookbook-openstack-dns,True,,,
198,782770,827148,puppet-tripleo,tripleo-ansible,False,,,
199,777228,786233,tripleo-common,tripleo-ansible,False,,,
200,701523,701561,paunch,tripleo-heat-templates,True,,,
201,378724,386248,puppet-openstack-cookiecutter,puppet-tacker,True,,,
202,432864,435143,tripleo-heat-templates,puppet-nova,False,,,
203,349341,364472,neutron-fwaas,neutron-lbaas,False,,,
204,351052,351576,puppet-tripleo,instack-undercloud,True,,,
205,682943,688201,python-tripleoclient,tripleo-common,False,,,
206,530250,530367,puppet-openstack-integration,puppet-barbican,True,,,
207,611893,611896,project-config,governance,True,,,
208,699879,699880,tripleo-common,tripleo-heat-templates,True,,,
209,558850,559311,tripleo-upgrade,python-tripleoclient,True,,,
210,536461,536575,tripleo-ci,os-collect-config,True,,,
211,448565,449383,releases,openstack-manuals,False,,,
212,577660,577664,shade,openstacksdk,True,,,
213,643625,643887,horizon,designate-dashboard,False,,,
214,280267,281920,ironic,devstack,True,,,
215,815468,815470,openstack-ansible-os_heat,openstack-ansible-os_tempest,True,,,
216,558275,558300,charm-ceph-proxy,charm-openvswitch-odl,True,,,
217,185640,607510,heat,puppet-tripleo,False,,,
218,524962,525552,openstack-ansible-openstack_hosts,openstack-ansible-os_heat,True,,,
219,812334,812339,neutron,networking-ovn,True,,,
220,152156,161302,keystone,python-openstackclient,True,,,
221,315142,315168,fuel-web,python-fuelclient,True,,,
222,358792,361779,murano,murano-dashboard,True,,,
223,776358,776359,charm-keystone-kerberos,charm-keystone-ldap,True,,,
224,121303,121308,nova-specs,python-cinderclient,True,,,
225,501204,506957,puppet-tripleo,tripleo-heat-templates,True,,,
226,756245,759365,puppet-neutron,neutron,False,,,
227,437671,440337,murano-dashboard,python-tripleoclient,False,,,
228,606035,629786,kayobe,kayobe-config-dev,True,,,
229,833995,834055,ovn-octavia-provider,networking-ovn,True,,,
230,529143,531455,neutron,networking-ovn,True,,,
231,826986,826989,octavia-dashboard,ironic-ui,True,,,
232,739659,739891,openstack-helm-infra,openstack-helm,True,,,
233,206672,206675,heat,keystone,True,,,
234,536472,536579,tripleo-common,os-net-config,True,,,
235,777236,777420,tripleo-ansible,tripleo-heat-templates,True,,,
236,761862,762400,python-tripleoclient,tripleo-quickstart-extras,False,,,
237,394378,402081,puppet-tripleo,python-heatclient,False,,,
238,547230,556276,cinder,manila,False,,,
239,775698,777239,tripleo-common,tripleo-heat-templates,True,,,
240,209538,280332,neutron,openstack-manuals,True,,,
241,796402,796672,tripleo-heat-templates,neutron,False,,,
242,536511,537612,tripleo-image-elements,puppet-pacemaker,False,,,
243,523541,523832,openstack-ansible-tests,openstack-ansible-lxc_container_create,False,,,
244,777422,779343,tripleo-common,tripleo-ansible,True,,,
245,574879,575195,ironic,python-dracclient,True,,,
246,684781,715876,nova,requirements,False,,,
247,367482,367531,releases,openstack-ansible,False,,,
248,681910,681912,neutron,neutron-tempest-plugin,True,,,
249,558270,558279,charm-ceilometer,charm-cinder-ceph,True,,,
250,776339,776343,charm-ceph-osd,charm-cinder,True,,,
251,419118,420351,python-tripleoclient,puppet-tripleo,False,,,
252,169497,169499,cookbook-openstack-ops-messaging,cookbook-openstack-telemetry,True,,,
253,591313,591318,vitrage-tempest-plugin,vitrage,True,,,
254,289898,290005,openstack-ansible-lxc_hosts,openstack-ansible,True,,,
255,426143,426144,puppet-tripleo,tripleo-image-elements,True,,,
256,594138,681657,networking-ovn,ovsdbapp,False,,,
257,748315,752308,metalsmith,ironic-python-agent,True,,,
258,536574,537409,os-apply-config,puppet-pacemaker,True,,,
259,693379,693447,tripleo-ci,tripleo-puppet-elements,False,,,
260,458967,464725,networking-ovn,requirements,False,,,
261,165122,165127,cookbook-openstack-network,cookbook-openstack-block-storage,True,,,
262,603910,620323,nova,devstack,False,,,
263,678683,678691,charm-designate-bind,charm-heat,True,,,
264,536564,537878,tripleo-common,paunch,True,,,
265,525118,525569,openstack-ansible-tests,openstack-ansible-os_trove,True,,,
266,813186,815289,neutron,networking-ovn,True,,,
267,543465,543467,openstack-ansible-os_magnum,openstack-ansible,True,,,
268,680722,680727,tripleo-heat-templates,tripleo-common,True,,,
269,413644,413653,tripleo-heat-templates,puppet-horizon,True,,,
270,526030,528757,tripleo-common,tripleo-heat-templates,True,,,
271,633171,636909,puppet-tripleo,tripleo-heat-templates,False,,,
272,682356,701105,vitrage,requirements,False,,,
273,759000,764093,neutron-tempest-plugin,tripleo-heat-templates,True,,,
274,558290,558571,charm-manila-generic,charm-ceph-mon,True,,,
275,647851,648477,openstack-ansible-os_aodh,openstack-ansible,False,,,
276,422839,422840,tripleo-image-elements,tripleo-common,True,,,
277,406138,407072,puppet-nova,puppet-barbican,True,,,
278,536499,537875,dib-utils,paunch,True,,,
279,270839,270843,project-config,kolla,True,,,
280,572411,573619,openstack-ansible-repo_build,openstack-ansible,True,,,
281,727403,727417,openstack-ansible-os_nova,openstack-ansible-os_sahara,True,,,
282,118724,118964,oslo.messaging,manila,False,,,
283,504455,510775,networking-bgpvpn,requirements,False,,,
284,737332,737826,nova,openstack-zuul-jobs,True,,,
285,536563,536587,tripleo-common,puppet-tripleo,True,,,
286,192407,192412,sahara,neutron-vpnaas,True,,,
287,567697,583849,nova,project-config,False,,,
288,367645,367677,searchlight,searchlight-ui,True,,,
289,420461,420876,nova,grenade,True,,,
290,655136,655156,openstack-zuul-jobs,networking-ovn,True,,,
291,727805,728066,neutron,networking-ovn,False,,,
292,525045,525046,python-glanceclient,openstack-zuul-jobs,True,,,
293,558277,561527,charm-cinder,charm-heat,False,,,
294,155051,156132,neutron,neutron-lbaas,False,,,
295,744647,744714,horizon,designate-dashboard,True,,,
296,407028,407069,puppet-nova,puppet-aodh,True,,,
297,615776,615778,tripleo-common,tripleo-heat-templates,True,,,
298,243614,244691,tripleo-heat-templates,heat,False,,,
299,596274,604006,tripleo-heat-templates,tripleo-common,True,,,
300,813811,817831,python-tripleoclient,tripleo-ansible,True,,,
301,580153,591272,puppet-nova,puppet-tripleo,False,,,
302,550749,578736,openstack-ansible,openstack-ansible-plugins,True,,,
303,190597,190664,grenade,devstack-gate,True,,,
304,535874,535876,releases,openstack-ansible,True,,,
305,138126,141886,tempest,cinder,True,,,
306,367838,367903,openstack-ansible-ceph_client,openstack-ansible-rsyslog_server,True,,,
307,291890,291891,aodh,ceilometer,True,,,
308,678643,678940,charm-ceilometer-agent,charm-percona-cluster,True,,,
309,599605,600467,tripleo-quickstart,tripleo-common,False,,,
310,367865,371344,openstack-ansible-os_cinder,openstack-ansible-os_trove,True,,,
311,536503,536513,os-apply-config,tripleo-puppet-elements,True,,,
312,677245,682972,grenade,project-config,True,,,
313,121313,123980,python-novaclient,solum,False,,,
314,346278,353443,nova,requirements,False,,,
315,91053,91070,cinder,zaqar,True,,,
316,117157,117158,keystone-specs,cinder-specs,True,,,
317,185549,256343,nova,grenade,True,,,
318,192411,192412,neutron-lbaas,neutron-vpnaas,True,,,
319,458674,471478,puppet-tripleo,tripleo-heat-templates,False,,,
320,365767,368361,python-fuelclient,fuel-octane,False,,,
321,792188,792219,neutron,networking-ovn,False,,,
322,427345,428292,tempest,devstack,True,,,
323,101097,101799,neutron,ceilometer,True,,,
324,464172,477792,project-config,networking-midonet,True,,,
325,555034,555935,openstack-zuul-jobs,networking-ovn,True,,,
326,360329,360350,puppet-tripleo,instack-undercloud,True,,,
327,574047,574048,releases,openstack-ansible,True,,,
328,402130,439254,openstack-ansible-os_trove,openstack-ansible-os_neutron,False,,,
329,270905,272538,designate,project-config,False,,,
330,692058,693631,ceilometer,requirements,False,,,
331,651552,651777,paunch,tripleo-heat-templates,True,,,
332,367838,367868,openstack-ansible-ceph_client,openstack-ansible-os_glance,True,,,
333,259594,259611,project-config,openstack-ansible-rabbitmq_server,True,,,
334,775698,779318,tripleo-common,tripleo-ansible,True,,,
335,154407,155455,oslo.versionedobjects,project-config,False,,,
336,569789,570696,python-tripleoclient,tripleo-quickstart-extras,True,,,
337,633238,636874,puppet-tripleo,tripleo-heat-templates,True,,,
338,451469,451549,charm-glance,charm-neutron-api-odl,True,,,
339,558281,558571,charm-designate-bind,charm-ceph-mon,True,,,
340,513099,513797,openstack-ansible-apt_package_pinning,openstack-ansible-tests,True,,,
341,741231,742093,puppet-tripleo,puppet-pacemaker,True,,,
342,469475,469481,releases,openstack-ansible,True,,,
343,605747,605753,tripleo-quickstart-extras,tripleo-quickstart,True,,,
344,665690,703966,python-tripleoclient,tripleo-common,False,,,
345,509204,509568,puppet-openstack-integration,puppet-openstack_spec_helper,True,,,
346,647467,661948,tripleo-heat-templates,tripleo-common,True,,,
347,207605,207610,trove,trove-integration,True,,,
348,402130,403786,openstack-ansible-os_trove,openstack-ansible-os_swift,True,,,
349,639040,643389,devstack,neutron,True,,,
350,756246,759366,puppet-neutron,neutron,False,,,
351,350966,350969,openstack-ansible-os_keystone,openstack-ansible-os_neutron,True,,,
352,61494,61496,os-collect-config,os-refresh-config,True,,,
353,708436,718057,nova,python-novaclient,False,,,
354,800841,800851,openstack-chef,cookbook-openstack-integration-test,True,,,
355,753428,753834,project-config,governance,False,,,
356,541402,554637,puppet-heat,tripleo-heat-templates,True,,,
357,499789,504134,puppet-nova,tripleo-heat-templates,True,,,
358,497481,498664,puppet-manila,tripleo-heat-templates,False,,,
359,565300,565343,goal-tools,project-config,True,,,
360,120501,120504,designate-specs,docs-specs,True,,,
361,564067,564180,nova,devstack,True,,,
362,558284,558575,charm-hacluster,charm-percona-cluster,True,,,
363,154139,154156,cookbook-openstack-compute,cookbook-openstack-orchestration,True,,,
364,516518,519868,puppet-openstack-integration,puppet-neutron,True,,,
365,817413,848492,puppet-neutron,tripleo-heat-templates,False,,,
366,121311,121324,python-keystoneclient,manila,True,,,
367,212652,212710,taskflow,requirements,True,,,
368,767032,767435,karbor,kayobe-config,True,,,
369,522099,522101,python-novaclient,project-config,True,,,
370,291895,291897,magnum,searchlight,True,,,
371,579208,579554,openstack-ansible-tests,openstack-ansible-memcached_server,False,,,
372,536819,536835,panko,devstack-plugin-ceph,True,,,
373,169065,174988,cue,python-cueclient,True,,,
374,587853,590011,openstack-ansible,openstack-ansible-os_tempest,True,,,
375,610603,612339,openstack-ansible-os_ironic,openstack-ansible-os_sahara,False,,,
376,667792,675104,tripleo-docs,tripleo-heat-templates,True,,,
377,469121,473825,openstack-ansible,openstack-ansible-tests,True,,,
378,335363,360565,grenade,devstack-gate,False,,,
379,403695,493746,openstack-ansible-os_tempest,openstack-ansible-os_nova,False,,,
380,121223,121326,horizon,solum-specs,True,,,
